Retailer Name,Category,Website
Adidas,Sport & leisure,adidas.co.uk
Aldi,Grocery,aldi.co.uk
Allbeauty,Health & beauty,allbeauty.com
All Saints,Fashion,allsaints.com
Amara,Fashion,amara.com
Amazon,General merchandise,amazon.co.uk
Ann Summers,Fashion,annsummers.com
Ao.com,Electricals,ao.com
Apple,Electricals,apple.co.uk
Argos,General merchandise,argos.co.uk
AS Watson Group,N/A,N/A
Asda,Grocery,asda.co.uk
Asos,Fashion,asos.com
B&M,General merchandise,bmstores.co.uk
B&Q,Home,diy.com
Birchbox,Health & beauty,birchbox.co.uk
Boden,Fashion,boden.co.uk
Boohoo,Fashion,boohoo.com
Booths,Grocery,booths.co.uk
Boots,Health & beauty,boots.com
Boux Avenue,Fashion,bouxavenue.com
BrandAlley,Fashion,brandalley.co.uk
Bravissimo,Fashion,bravissimo.com
Burberry,Fashion,uk.burberry.com
Burton,Fashion,burton.co.uk
Buy It Direct,N/A,N/A
Laptops Direct,Electricals,laptopsdirect.co.uk
Appliances Direct,Electricals,appliancesdirect.co.uk
Better Bathrooms,Home,betterbathrooms.com
Furniture123,Home,furniture123.co.uk
Card Factory,General merchandise,cardfactory.co.uk
Carpetright,Home,carpetright.co.uk
Carphone Warehouse,Electricals,carphonewarehouse.com
Cath Kidston,Fashion,cathkidston.com
Charles Tyrwhitt,Fashion,charlestyrwhitt.com
Childrensalon,Fashion,childrensalon.com
Claire’s,Fashion,claires.com
Clarks,Fashion,clarks.co.uk
Clintons,General merchandise,clintonsretail.com
Crew Clothing,Fashion,crewclothing.co.uk
Currys PC World,Electricals,currys.co.uk
Debenhams,Department stores,debenhams.com
Decathlon,Sport & leisure,decathlon.co.uk
DFS,Home,dfs.co.uk
Dorothy Perkins,Fashion,dorothyperkins.com
Dreams,Home,dreams.co.uk
Dune,Fashion,dunelondon.com
Dunelm,Home,dunelm.com
eBay (UK),General merchandise,ebay.co.uk
EE,Electricals,ee.co.uk
End,Fashion,endclothing.com
Evans Cycles,Sport & leisure,evanscycles.com
Eve Sleep,Home,evesleep.co.uk
Farfetch,Fashion,farfetch.com
Fat Face,Fashion,fatface.com
FeelUnique,Health & beauty,feelunique.com
Fenwick,Department stores,fenwick.co.uk
Footasylum,Fashion,footasylum.com
Fortnum & Mason,Department stores,fortnumandmason.com
Frasers Group,N/A,N/A
French Connection,Fashion,frenchconnection.com
Furniture Village,Home,furniturevillage.co.uk
Game,Entertainment,game.co.uk
Gap,Fashion,gap.co.uk
Go Outdoors,Sport & leisure,gooutdoors.co.uk
Gymshark,Fashion,uk.gymshark.com
H&M,Fashion,hm.com
Halfords,Sport & leisure,halfords.com
Hamleys,Entertainment,hamleys.com
Harrods,Department stores,harrods.com
Harvey Nichols,Department stores,harveynichols.com
HMV,Entertainment,hmv.com
Hobbs,Fashion,hobbs.com
Hobbycraft,Entertainment,hobbycraft.co.uk
Holland & Barrett,Health & beauty,hollandandbarrett.com
Home Bargains,General merchandise,homebargains.co.uk
Homebase,Home,homebase.co.uk
Hotel Chocolat,Speciality,hotelchocolat.com
House of Fraser,Department stores,houseoffraser.co.uk
Hush,Fashion,hush-uk.com
Iceland,Grocery,iceland.co.uk
Ikea,Home,ikea.com
In The Style,Fashion,inthestyle.com
Jack Wills,Fashion,jackwills.com
JD Sports,Sport & leisure,jdsports.com
Jigsaw,Fashion,jigsaw-online.com
John Lewis,Department stores,johnlewis.com
John Lewis Partnership,N/A,N/A
Joules,Fashion,joules.com
Kingfisher,N/A,N/A
Kurt Geiger,Fashion,kurtgeiger.com
Lakeland,Home,lakeland.co.uk
Liberty,Department stores,libertylondon.com
Lidl,Grocery,lidl.co.uk
